price,id,name,stats,description,dna,genesis,Species,Rarity Class,Head,Face,Skin,Eyes,Mouth,Earrings,Headgear,Body,Legs,LegAccessories,Background,Perk 1,Perk 2,collectionName,gameName,level,character_tokens,health,shield,talent_points_available,talent_points_total,earn_rate,Overachiever,Hodler,Grounded,Stonewall,Adrenaline Rush,Overshield,Black Widow,Galvanized,Nano Meds,Resilience,Cold Blooded,Perseverance,Escape Artist,Scavenger,Cool Moves,Brawler,Automatic Weapons Proficiency,Scatter Weapons Proficiency,Precision Weapons Proficiency,Explosive Weapons Proficiency,Elemental Weapons Proficiency
6.0,9582,Genesis Space Ape #9582,https://metadata.verko.io/dynamic/1/9582,"Space Apes are in-game playable and tradable character NFTs inside the Cantina Royale Game. Each Space Ape belongs to a certain rarity: Bronze, Silver, Gold, Epic, Legendary. They come with 3 Base Stats: Vitality, Defence, Agility, and 2 randomly assigned Special Perks. Every Space Ape comes with a unique ID which remains permanent within the game and on-chain.",00010000021e1a0137501b0109,True,Genesis Space Ape,Silver,Default,None,Brown,Blindfold White,Phoneme Vuh,Silver Cross,Combat Helmet White,Company Armor Orange,Pilot Pants Brown,Ammo Belt,Artic,Black Widow,Brawler,Genesis Space Ape,Cantina Royale,1,0,2700,1400,0,0,1.0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,10,0,0,0,0,0
1.69,10397,Genesis Space Ape #10397,https://metadata.verko.io/dynamic/1/10397,"Space Apes are in-game playable and tradable character NFTs inside the Cantina Royale Game. Each Space Ape belongs to a certain rarity: Bronze, Silver, Gold, Epic, Legendary. They come with 3 Base Stats: Vitality, Defence, Agility, and 2 randomly assigned Special Perks. Every Space Ape comes with a unique ID which remains permanent within the game and on-chain.",000000000f17180000390d3308,True,Genesis Space Ape,Bronze,Default,None,Tan,Sleepy,Phoneme L,None,None,T Shirt Green,Company Pants Black,Titan Bags Blue,Desert,Scavenger,Automatic Weapons Proficiency,Genesis Space Ape,Cantina Royale,1,0,2600,1350,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,10,0,0,0,0
10.0,13591,Genesis Space Ape #13591,https://metadata.verko.io/dynamic/1/13591,"Space Apes are in-game playable and tradable character NFTs inside the Cantina Royale Game. Each Space Ape belongs to a certain rarity: Bronze, Silver, Gold, Epic, Legendary. They come with 3 Base Stats: Vitality, Defence, Agility, and 2 randomly assigned Special Perks. Every Space Ape comes with a unique ID which remains permanent within the game and on-chain.",0000000009061700003b1b0408,True,Genesis Space Ape,Bronze,Default,None,Gray,Closed,Phoneme Ooo,None,None,T Shirt Red,Pilot Pants Brown,Company Bags Blue,Desert,Galvanized,Cool Moves,Genesis Space Ape,Cantina Royale,1,0,2600,1350,0,0,1.0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,10,0,0,0,0,0,0
15.0,622,Genesis Space Ape #622,https://metadata.verko.io/dynamic/1/622,"Space Apes are in-game playable and tradable character NFTs inside the Cantina Royale Game. Each Space Ape belongs to a certain rarity: Bronze, Silver, Gold, Epic, Legendary. They come with 3 Base Stats: Vitality, Defence, Agility, and 2 randomly assigned Special Perks. Every Space Ape comes with a unique ID which remains permanent within the game and on-chain.",000400001817190f2f7b20220c,True,Genesis Space Ape,Legendary,Default,None,Citrine,Sleepy,Phoneme Oh,Gold Double Stud,Captain Hat Red,Mercenary Armor Mk.2 Black,Rogue Pants Green,Pilot Bags Red,Neon,Automatic Weapons Proficiency,Scavenger,Genesis Space Ape,Cantina Royale,9,316,4141,2408,15,15,1.88,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,10,0,0,0,0
2.76,4284,Genesis Space Ape #4284,https://metadata.verko.io/dynamic/1/4284,"Space Apes are in-game playable and tradable character NFTs inside the Cantina Royale Game. Each Space Ape belongs to a certain rarity: Bronze, Silver, Gold, Epic, Legendary. They come with 3 Base Stats: Vitality, Defence, Agility, and 2 randomly assigned Special Perks. Every Space Ape comes with a unique ID which remains permanent within the game and on-chain.",00020000171712004f5809380a,True,Genesis Space Ape,Gold,Default,None,Chrome,Sleepy,Grin,None,Headband Red,Company Armor Mk.2 Red,Tactical Pants Blue,Waistband Green,Golden,Grounded,Explosive Weapons Proficiency,Genesis Space Ape,Cantina Royale,1,20,2800,1500,0,0,1.0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0
4.49,9984,Genesis Space Ape #9984,https://metadata.verko.io/dynamic/1/9984,"Space Apes are in-game playable and tradable character NFTs inside the Cantina Royale Game. Each Space Ape belongs to a certain rarity: Bronze, Silver, Gold, Epic, Legendary. They come with 3 Base Stats: Vitality, Defence, Agility, and 2 randomly assigned Special Perks. Every Space Ape comes with a unique ID which remains permanent within the game and on-chain.",000000000b011a000039092508,True,Genesis Space Ape,Bronze,Default,None,Pink,Angry,Phoneme Vuh,None,None,T Shirt Green,Tactical Pants Blue,Tactical Bags Brown,Desert,Overachiever,Elemental Weapons Proficiency,Genesis Space Ape,Cantina Royale,1,0,2600,1350,0,0,1.0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
7.45,4628,Genesis Space Ape #4628,https://metadata.verko.io/dynamic/1/4628,"Space Apes are in-game playable and tradable character NFTs inside the Cantina Royale Game. Each Space Ape belongs to a certain rarity: Bronze, Silver, Gold, Epic, Legendary. They come with 3 Base Stats: Vitality, Defence, Agility, and 2 randomly assigned Special Perks. Every Space Ape comes with a unique ID which remains permanent within the game and on-chain.",000200001d1c1d0d4376081a0a,True,Genesis Space Ape,Gold,Default,None,Oil,Blindfold Red,Small Grin,Gold Double Hoop,Beanie Brown,Mercenary Armor Black,Tactical Pants Orange,Quad Grenades 2 Green,Golden,Overachiever,Scavenger,Genesis Space Ape,Cantina Royale,1,1,2800,1500,0,0,1.0,10,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0
4.97,1805,Genesis Space Ape #1805,https://metadata.verko.io/dynamic/1/1805,"Space Apes are in-game playable and tradable character NFTs inside the Cantina Royale Game. Each Space Ape belongs to a certain rarity: Bronze, Silver, Gold, Epic, Legendary. They come with 3 Base Stats: Vitality, Defence, Agility, and 2 randomly assigned Special Perks. Every Space Ape comes with a unique ID which remains permanent within the game and on-chain.",000300001529000a496211130b,True,Genesis Space Ape,Epic,Default,None,Muerto,Space Goggles Red,Bored,Silver Triple Helix,Pilot Cap Green,Titan Armor Mk.2 Orange,Company Pants Yellow,Dual Grenades 2 Orange,Outworld,Overshield,Adrenaline Rush,Genesis Space Ape,Cantina Royale,6,1041,3443,1896,0,0,1.48,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.0,11387,Genesis Space Ape #11387,https://metadata.verko.io/dynamic/1/11387,"Space Apes are in-game playable and tradable character NFTs inside the Cantina Royale Game. Each Space Ape belongs to a certain rarity: Bronze, Silver, Gold, Epic, Legendary. They come with 3 Base Stats: Vitality, Defence, Agility, and 2 randomly assigned Special Perks. Every Space Ape comes with a unique ID which remains permanent within the game and on-chain.",0000000001011c00003f063208,True,Genesis Space Ape,Bronze,Default,None,Blue,Angry,Rage,None,None,Tank Shirt Green,Tactical Pants Black,Titan Bags Black,Desert,Precision Weapons Proficiency,Grounded,Genesis Space Ape,Cantina Royale,1,0,2600,1350,0,0,1.0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0
6.6,10815,Genesis Space Ape #10815,https://metadata.verko.io/dynamic/1/10815,"Space Apes are in-game playable and tradable character NFTs inside the Cantina Royale Game. Each Space Ape belongs to a certain rarity: Bronze, Silver, Gold, Epic, Legendary. They come with 3 Base Stats: Vitality, Defence, Agility, and 2 randomly assigned Special Perks. Every Space Ape comes with a unique ID which remains permanent within the game and on-chain.",0000000009011a0000421b3308,True,Genesis Space Ape,Bronze,Default,None,Gray,Angry,Phoneme Vuh,None,None,Hoodie Black,Pilot Pants Brown,Titan Bags Blue,Desert,Adrenaline Rush,Cool Moves,Genesis Space Ape,Cantina Royale,1,0,2600,1350,0,0,1.0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0
10.0,1983,Genesis Space Ape #1983,https://metadata.verko.io/dynamic/1/1983,"Space Apes are in-game playable and tradable character NFTs inside the Cantina Royale Game. Each Space Ape belongs to a certain rarity: Bronze, Silver, Gold, Epic, Legendary. They come with 3 Base Stats: Vitality, Defence, Agility, and 2 randomly assigned Special Perks. Every Space Ape comes with a unique ID which remains permanent within the game and on-chain.",00030000031d04103c520c220b,True,Genesis Space Ape,Epic,Default,None,Cheetah,Blindfold Black,Bored Dagger,Ear Tag,Fawks Hawk Green,Company Armor Red,Company Pants Blue,Pilot Bags Red,Outworld,Overshield,Resilience,Genesis Space Ape,Cantina Royale,5,73,3291,1812,0,0,1.37,0,0,0,0,0,10,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0
5.0,10874,Genesis Space Ape #10874,https://metadata.verko.io/dynamic/1/10874,"Space Apes are in-game playable and tradable character NFTs inside the Cantina Royale Game. Each Space Ape belongs to a certain rarity: Bronze, Silver, Gold, Epic, Legendary. They come with 3 Base Stats: Vitality, Defence, Agility, and 2 randomly assigned Special Perks. Every Space Ape comes with a unique ID which remains permanent within the game and on-chain.",00000000111711000033093008,True,Genesis Space Ape,Bronze,Default,None,White,Sleepy,Dumbfounded,None,None,Large Vest Brown,Tactical Pants Blue,Titan Bags Green,Desert,Resilience,Overshield,Genesis Space Ape,Cantina Royale,1,0,2600,1350,0,0,1.0,0,0,0,0,0,10,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0
6.5,1220,Genesis Space Ape #1220,https://metadata.verko.io/dynamic/1/1220,"Space Apes are in-game playable and tradable character NFTs inside the Cantina Royale Game. Each Space Ape belongs to a certain rarity: Bronze, Silver, Gold, Epic, Legendary. They come with 3 Base Stats: Vitality, Defence, Agility, and 2 randomly assigned Special Perks. Every Space Ape comes with a unique ID which remains permanent within the game and on-chain.",000300001c170700517315110b,True,Genesis Space Ape,Epic,Default,None,Midnight,Sleepy,Bored Pipe,None,Headband White,Rogue Armor Green,Titan Pants Orange,Dual Grenades 2 Blue,Outworld,Scatter Weapons Proficiency,Overachiever,Genesis Space Ape,Cantina Royale,9,1,4001,2203,15,15,1.88,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0
3.2,5826,Genesis Space Ape #5826,https://metadata.verko.io/dynamic/1/5826,"Space Apes are in-game playable and tradable character NFTs inside the Cantina Royale Game. Each Space Ape belongs to a certain rarity: Bronze, Silver, Gold, Epic, Legendary. They come with 3 Base Stats: Vitality, Defence, Agility, and 2 randomly assigned Special Perks. Every Space Ape comes with a unique ID which remains permanent within the game and on-chain.",000100000819161041421f0f09,True,Genesis Space Ape,Silver,Default,None,Golden Brown,Wide Eyed,Jovial,Ear Tag,Beanie Black,Hoodie Black,Rogue Pants Blue,Dual Grenades 1 Orange,Artic,Escape Artist,Brawler,Genesis Space Ape,Cantina Royale,3,34,2836,1469,0,0,1.17,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,10,0,0,0,0,0
4.5,13355,Genesis Space Ape #13355,https://metadata.verko.io/dynamic/1/13355,"Space Apes are in-game playable and tradable character NFTs inside the Cantina Royale Game. Each Space Ape belongs to a certain rarity: Bronze, Silver, Gold, Epic, Legendary. They come with 3 Base Stats: Vitality, Defence, Agility, and 2 randomly assigned Special Perks. Every Space Ape comes with a unique ID which remains permanent within the game and on-chain.",0000000008061700002d0a0108,True,Genesis Space Ape,Bronze,Default,None,Golden Brown,Closed,Phoneme Ooo,None,None,Leather Vest Brown,Tactical Pants Red,Ammo Belt,Desert,Scatter Weapons Proficiency,Black Widow,Genesis Space Ape,Cantina Royale,1,0,2600,1350,0,0,1.0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,10,0,0,0
3.87,13172,Genesis Space Ape #13172,https://metadata.verko.io/dynamic/1/13172,"Space Apes are in-game playable and tradable character NFTs inside the Cantina Royale Game. Each Space Ape belongs to a certain rarity: Bronze, Silver, Gold, Epic, Legendary. They come with 3 Base Stats: Vitality, Defence, Agility, and 2 randomly assigned Special Perks. Every Space Ape comes with a unique ID which remains permanent within the game and on-chain.",0000000000151a0000420d0408,True,Genesis Space Ape,Bronze,Default,None,Black,Sad,Phoneme Vuh,None,None,Hoodie Black,Company Pants Black,Company Bags Blue,Desert,Elemental Weapons Proficiency,Brawler,Genesis Space Ape,Cantina Royale,2,70,2652,1376,0,0,1.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,10
7.0,11942,Genesis Space Ape #11942,https://metadata.verko.io/dynamic/1/11942,"Space Apes are in-game playable and tradable character NFTs inside the Cantina Royale Game. Each Space Ape belongs to a certain rarity: Bronze, Silver, Gold, Epic, Legendary. They come with 3 Base Stats: Vitality, Defence, Agility, and 2 randomly assigned Special Perks. Every Space Ape comes with a unique ID which remains permanent within the game and on-chain.",00000000051719000044060508,True,Genesis Space Ape,Bronze,Default,None,Dark Brown,Sleepy,Phoneme Oh,None,None,Hoodie Blue,Tactical Pants Black,Company Bags Brown,Desert,Hodler,Brawler,Genesis Space Ape,Cantina Royale,1,0,2600,1350,0,0,1.0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0
8.0,3943,Genesis Space Ape #3943,https://metadata.verko.io/dynamic/1/3943,"Space Apes are in-game playable and tradable character NFTs inside the Cantina Royale Game. Each Space Ape belongs to a certain rarity: Bronze, Silver, Gold, Epic, Legendary. They come with 3 Base Stats: Vitality, Defence, Agility, and 2 randomly assigned Special Perks. Every Space Ape comes with a unique ID which remains permanent within the game and on-chain.",000200000c09190f465211230a,True,Genesis Space Ape,Gold,Default,None,Red,Cyborg,Phoneme Oh,Gold Double Stud,Pilot Cap Brown,Company Armor Red,Company Pants Yellow,Pilot Bags Orange,Golden,Grounded,Automatic Weapons Proficiency,Genesis Space Ape,Cantina Royale,1,0,2800,1500,0,0,1.0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0
3.2,7760,Genesis Space Ape #7760,https://metadata.verko.io/dynamic/1/7760,"Space Apes are in-game playable and tradable character NFTs inside the Cantina Royale Game. Each Space Ape belongs to a certain rarity: Bronze, Silver, Gold, Epic, Legendary. They come with 3 Base Stats: Vitality, Defence, Agility, and 2 randomly assigned Special Perks. Every Space Ape comes with a unique ID which remains permanent within the game and on-chain.",00010000011c11102b74102209,True,Genesis Space Ape,Silver,Default,None,Blue,Blindfold Red,Dumbfounded,Ear Tag,Captain Hat White,Rogue Armor Black,Company Pants Red,Pilot Bags Red,Artic,Cool Moves,Automatic Weapons Proficiency,Genesis Space Ape,Cantina Royale,3,44,2836,1469,0,0,1.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,10,0,0,0,0
6.0,1607,Genesis Space Ape #1607,https://metadata.verko.io/dynamic/1/1607,"Space Apes are in-game playable and tradable character NFTs inside the Cantina Royale Game. Each Space Ape belongs to a certain rarity: Bronze, Silver, Gold, Epic, Legendary. They come with 3 Base Stats: Vitality, Defence, Agility, and 2 randomly assigned Special Perks. Every Space Ape comes with a unique ID which remains permanent within the game and on-chain.",0003000015091200405e17330b,True,Genesis Space Ape,Epic,Default,None,Muerto,Cyborg,Grin,None,Fluffy Hat Brown,Titan Armor Neon,Pilot Pants Orange,Titan Bags Blue,Outworld,Scatter Weapons Proficiency,Grounded,Genesis Space Ape,Cantina Royale,13,2170,4951,2725,35,35,2.57,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0
1.56,11412,Genesis Space Ape #11412,https://metadata.verko.io/dynamic/1/11412,"Space Apes are in-game playable and tradable character NFTs inside the Cantina Royale Game. Each Space Ape belongs to a certain rarity: Bronze, Silver, Gold, Epic, Legendary. They come with 3 Base Stats: Vitality, Defence, Agility, and 2 randomly assigned Special Perks. Every Space Ape comes with a unique ID which remains permanent within the game and on-chain.",000000000f151c000046082608,True,Genesis Space Ape,Bronze,Default,None,Tan,Sad,Rage,None,None,Hoodie Brown,Tactical Pants Orange,Tactical Bags Green,Desert,Perseverance,Automatic Weapons Proficiency,Genesis Space Ape,Cantina Royale,3,6,2731,1417,0,0,1.17,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,10,0,0,0,0
1.67,6853,Genesis Space Ape #6853,https://metadata.verko.io/dynamic/1/6853,"Space Apes are in-game playable and tradable character NFTs inside the Cantina Royale Game. Each Space Ape belongs to a certain rarity: Bronze, Silver, Gold, Epic, Legendary. They come with 3 Base Stats: Vitality, Defence, Agility, and 2 randomly assigned Special Perks. Every Space Ape comes with a unique ID which remains permanent within the game and on-chain.",0001000004191c095046253209,True,Genesis Space Ape,Silver,Default,None,Cream,Wide Eyed,Rage,Gold Double Helix,Headband Black,Hoodie Brown,Mercenary Pants Blue,Titan Bags Black,Artic,Stonewall,Overachiever,Genesis Space Ape,Cantina Royale,2,40,2754,1427,0,0,1.08,10,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.5,8644,Genesis Space Ape #8644,https://metadata.verko.io/dynamic/1/8644,"Space Apes are in-game playable and tradable character NFTs inside the Cantina Royale Game. Each Space Ape belongs to a certain rarity: Bronze, Silver, Gold, Epic, Legendary. They come with 3 Base Stats: Vitality, Defence, Agility, and 2 randomly assigned Special Perks. Every Space Ape comes with a unique ID which remains permanent within the game and on-chain.",00010000001900004755230f09,True,Genesis Space Ape,Silver,Default,None,Black,Wide Eyed,Bored,None,Pilot Cap Black,Company Armor Mk.2 Black,Mercenary Pants Black,Dual Grenades 1 Orange,Artic,Automatic Weapons Proficiency,Escape Artist,Genesis Space Ape,Cantina Royale,1,21,2700,1400,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,10,0,0,0,0
3.1,3376,Genesis Space Ape #3376,https://metadata.verko.io/dynamic/1/3376,"Space Apes are in-game playable and tradable character NFTs inside the Cantina Royale Game. Each Space Ape belongs to a certain rarity: Bronze, Silver, Gold, Epic, Legendary. They come with 3 Base Stats: Vitality, Defence, Agility, and 2 randomly assigned Special Perks. Every Space Ape comes with a unique ID which remains permanent within the game and on-chain.",00020000022b000032780b250a,True,Genesis Space Ape,Gold,Default,None,Brown,Space Goggles Black,Bored,None,Cowboy Hat White,Mercenary Armor Blue,Tactical Pants Green,Tactical Bags Brown,Golden,Black Widow,Grounded,Genesis Space Ape,Cantina Royale,2,17,2856,1528,0,0,1.08,0,0,10,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14.0,2081,Genesis Space Ape #2081,https://metadata.verko.io/dynamic/1/2081,"Space Apes are in-game playable and tradable character NFTs inside the Cantina Royale Game. Each Space Ape belongs to a certain rarity: Bronze, Silver, Gold, Epic, Legendary. They come with 3 Base Stats: Vitality, Defence, Agility, and 2 randomly assigned Special Perks. Every Space Ape comes with a unique ID which remains permanent within the game and on-chain.",000300000d091b04406a29110b,True,Genesis Space Ape,Epic,Default,None,Robot,Cyborg,Phoneme Wah,Gold Hoop,Fluffy Hat Brown,Pilot Armor Mk.2 Orange,Cyborg Legs Black,Dual Grenades 2 Blue,Outworld,Nano Meds,Precision Weapons Proficiency,Genesis Space Ape,Cantina Royale,4,132,3158,1739,0,0,1.27,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,10,0,0
