identifier,nonce,originalUrl,thumbnailUrl,id,rank,stats,Species,Rarity Class,Head,Face,Skin,Eyes,Mouth,Earrings,Headgear,Body,Legs,LegAccessories,Background,Perk 1,Perk 2
CEA-2d29f9-0b,11,https://ipfs.io/ipfs/bafybeiggyrikwxvdqaijyyxvft36pwjlipou7nb72wcto32ry6j5ppcooq/597.png,https://media.elrond.com/nfts/thumbnail/CEA-2d29f9-933f496a,597,189,https://metadata.verko.io/dynamic/2/597,Genesis Cantina Elrond Ape,Gold,Default,Grey Open,Augmented,Cybermeta Tokyo,Rose,Punk,Red Dad Hat,Company Armor Mk.2 Yellow,Mercenary Pants Black,Quad Grenades 2 Green,Golden,Brawler,Cold Blooded
CEA-2d29f9-0c,12,https://ipfs.io/ipfs/bafybeiggyrikwxvdqaijyyxvft36pwjlipou7nb72wcto32ry6j5ppcooq/1962.png,https://media.elrond.com/nfts/thumbnail/CEA-2d29f9-1468854e,1962,1776,https://metadata.verko.io/dynamic/2/1962,Genesis Cantina Elrond Ape,Bronze,Default,Blue Open,Blue,None,Bone,None,None,Tactical Vest Brown,Pilot Pants White,Tactical Bags Brown,Desert,Scatter Weapons Proficiency,Escape Artist
CEA-2d29f9-0d,13,https://ipfs.io/ipfs/bafybeiggyrikwxvdqaijyyxvft36pwjlipou7nb72wcto32ry6j5ppcooq/238.png,https://media.elrond.com/nfts/thumbnail/CEA-2d29f9-e9a00d4e,238,475,https://metadata.verko.io/dynamic/2/238,Genesis Cantina Elrond Ape,Epic,Default,Platinum Open,Platinum,None,Rose,None,Paint,Pilot Armor White,Cyborg Legs Orange,Tech Belt Brown,Outworld,Overshield,Elemental Weapons Proficiency
CEA-2d29f9-0e,14,https://ipfs.io/ipfs/bafybeiggyrikwxvdqaijyyxvft36pwjlipou7nb72wcto32ry6j5ppcooq/234.png,https://media.elrond.com/nfts/thumbnail/CEA-2d29f9-19329b1f,234,443,https://metadata.verko.io/dynamic/2/234,Genesis Cantina Elrond Ape,Epic,Default,Platinum Closed,Platinum,MetaScreen Matrix,None,None,Gold Crown,Titan Armor Green,Titan Pants Blue,Company Bags Green,Outworld,Black Widow,Stonewall
CEA-2d29f9-0f,15,https://ipfs.io/ipfs/bafybeiggyrikwxvdqaijyyxvft36pwjlipou7nb72wcto32ry6j5ppcooq/624.png,https://media.elrond.com/nfts/thumbnail/CEA-2d29f9-ee446b9a,624,555,https://metadata.verko.io/dynamic/2/624,Genesis Cantina Elrond Ape,Gold,Default,Gold Open,Gold,Cyborg,Wheat,None,Sugegasa,Rogue Armor Orange,Tactical Pants Blue,Titan Bags Brown,Golden,Black Widow,Stonewall
CEA-2d29f9-10,16,https://ipfs.io/ipfs/bafybeiggyrikwxvdqaijyyxvft36pwjlipou7nb72wcto32ry6j5ppcooq/1385.png,https://media.elrond.com/nfts/thumbnail/CEA-2d29f9-1b1c413a,1385,842,https://metadata.verko.io/dynamic/2/1385,Genesis Cantina Elrond Ape,Silver,Default,Blue Open,Blue,Cyborg,Wheat,None,Tennis Headband,Tactical Vest Blue,Tactical Pants Green,Dagger Holster Black,Artic,Scavenger,Perseverance
CEA-2d29f9-11,17,https://ipfs.io/ipfs/bafybeiggyrikwxvdqaijyyxvft36pwjlipou7nb72wcto32ry6j5ppcooq/1583.png,https://media.elrond.com/nfts/thumbnail/CEA-2d29f9-3894e234,1583,1913,https://metadata.verko.io/dynamic/2/1583,Genesis Cantina Elrond Ape,Bronze,Default,Red Closed,Red,None,None,None,None,Hoodie Brown,Tactical Pants Black,Tactical Bags Brown,Desert,Scavenger,Precision Weapons Proficiency
CEA-2d29f9-12,18,https://ipfs.io/ipfs/bafybeiggyrikwxvdqaijyyxvft36pwjlipou7nb72wcto32ry6j5ppcooq/671.png,https://media.elrond.com/nfts/thumbnail/CEA-2d29f9-795067e5,671,513,https://metadata.verko.io/dynamic/2/671,Genesis Cantina Elrond Ape,Gold,Default,Grey Closed,Augmented,None,Mustache,None,Bowler,Company Armor Orange,Rogue Pants Green,Dual Grenades 2 Orange,Golden,Stonewall,Escape Artist
CEA-2d29f9-13,19,https://ipfs.io/ipfs/bafybeiggyrikwxvdqaijyyxvft36pwjlipou7nb72wcto32ry6j5ppcooq/1099.png,https://media.elrond.com/nfts/thumbnail/CEA-2d29f9-7ee84072,1099,630,https://metadata.verko.io/dynamic/2/1099,Genesis Cantina Elrond Ape,Silver,Default,Blue Open,Blue,Steampunk,Candy Cane,None,Green Dad Hat,T Shirt Blue,Mercenary Pants Black,Dual Grenades 2 Blue,Artic,Overshield,Perseverance
CEA-2d29f9-14,20,https://ipfs.io/ipfs/bafybeiggyrikwxvdqaijyyxvft36pwjlipou7nb72wcto32ry6j5ppcooq/1021.png,https://media.elrond.com/nfts/thumbnail/CEA-2d29f9-67420945,1021,688,https://metadata.verko.io/dynamic/2/1021,Genesis Cantina Elrond Ape,Silver,Default,Camo Open,Camo,None,Rose,Punk,Sponge,Tactical Vest Blue,Rogue Pants Black,Dual Grenades 1 Green,Artic,Automatic Weapons Proficiency,Scatter Weapons Proficiency
CEA-2d29f9-15,21,https://ipfs.io/ipfs/bafybeiggyrikwxvdqaijyyxvft36pwjlipou7nb72wcto32ry6j5ppcooq/831.png,https://media.elrond.com/nfts/thumbnail/CEA-2d29f9-ee90ffef,831,1016,https://metadata.verko.io/dynamic/2/831,Genesis Cantina Elrond Ape,Silver,Default,Camo Closed,Camo,Love Glasses,None,None,Bob,Bandolier,Rogue Pants Red,Tactical Bags Blue,Artic,Precision Weapons Proficiency,Automatic Weapons Proficiency
CEA-2d29f9-16,22,https://ipfs.io/ipfs/bafybeiggyrikwxvdqaijyyxvft36pwjlipou7nb72wcto32ry6j5ppcooq/300.png,https://media.elrond.com/nfts/thumbnail/CEA-2d29f9-f9ce78c1,300,304,https://metadata.verko.io/dynamic/2/300,Genesis Cantina Elrond Ape,Epic,Default,Gold Open,Gold,MetaScreen EAC,Lollipop,None,Tennis Headband,Mercenary Armor Mk.2 Black,Pilot Pants Blue,Tech Belt Grey,Outworld,Perseverance,Escape Artist
CEA-2d29f9-17,23,https://ipfs.io/ipfs/bafybeiggyrikwxvdqaijyyxvft36pwjlipou7nb72wcto32ry6j5ppcooq/1691.png,https://media.elrond.com/nfts/thumbnail/CEA-2d29f9-c01ec98c,1691,1843,https://metadata.verko.io/dynamic/2/1691,Genesis Cantina Elrond Ape,Bronze,Default,Blue Closed,Blue,None,None,Punk,None,Hoodie Green,Pilot Pants Brown,Company Bags Black,Desert,Overshield,Explosive Weapons Proficiency
CEA-2d29f9-18,24,https://ipfs.io/ipfs/bafybeiggyrikwxvdqaijyyxvft36pwjlipou7nb72wcto32ry6j5ppcooq/2074.png,https://media.elrond.com/nfts/thumbnail/CEA-2d29f9-62a70159,2074,2031,https://metadata.verko.io/dynamic/2/2074,Genesis Cantina Elrond Ape,Bronze,Default,Camo Closed,Camo,None,None,None,None,Tank Shirt Blue,Tactical Pants Brown,None,Desert,Precision Weapons Proficiency,Explosive Weapons Proficiency
CEA-2d29f9-19,25,https://ipfs.io/ipfs/bafybeiggyrikwxvdqaijyyxvft36pwjlipou7nb72wcto32ry6j5ppcooq/901.png,https://media.elrond.com/nfts/thumbnail/CEA-2d29f9-4fe8b441,901,1163,https://metadata.verko.io/dynamic/2/901,Genesis Cantina Elrond Ape,Silver,Default,Platinum Closed,Platinum,None,None,None,Black Beanie,Large Vest Green,Mercenary Pants Blue,Dual Grenades 2 Green,Artic,Brawler,Overachiever
CEA-2d29f9-1a,26,https://ipfs.io/ipfs/bafybeiggyrikwxvdqaijyyxvft36pwjlipou7nb72wcto32ry6j5ppcooq/698.png,https://media.elrond.com/nfts/thumbnail/CEA-2d29f9-b05bdcb7,698,348,https://metadata.verko.io/dynamic/2/698,Genesis Cantina Elrond Ape,Gold,Default,Gold Open,Gold,Funny Nose,Bubble Gum,None,Dandy,Tactical Vest Orange,Titan Pants Green,Tactical Bags Brown,Golden,Black Widow,Brawler
CEA-2d29f9-1b,27,https://ipfs.io/ipfs/bafybeiggyrikwxvdqaijyyxvft36pwjlipou7nb72wcto32ry6j5ppcooq/39.png,https://media.elrond.com/nfts/thumbnail/CEA-2d29f9-df8d8483,39,88,https://metadata.verko.io/dynamic/2/39,Genesis Cantina Elrond Ape,Legendary,Default,Robot Open,Robot,MetaScreen Matrix,Bubble Gum,None,Wizzard,Mercenary Armor Mk.2 Blue,Cyborg Legs Red,None,Neon,Explosive Weapons Proficiency,Hodler
CEA-2d29f9-1c,28,https://ipfs.io/ipfs/bafybeiggyrikwxvdqaijyyxvft36pwjlipou7nb72wcto32ry6j5ppcooq/699.png,https://media.elrond.com/nfts/thumbnail/CEA-2d29f9-52e86330,699,438,https://metadata.verko.io/dynamic/2/699,Genesis Cantina Elrond Ape,Gold,Default,Platinum Closed,Platinum,Cyborg,None,Punk,Sugegasa,Company Armor Mk.2 Red,Titan Pants Red,Ammo Belt,Golden,Hodler,Overachiever
CEA-2d29f9-1d,29,https://ipfs.io/ipfs/bafybeiggyrikwxvdqaijyyxvft36pwjlipou7nb72wcto32ry6j5ppcooq/1842.png,https://media.elrond.com/nfts/thumbnail/CEA-2d29f9-e99c95f7,1842,1547,https://metadata.verko.io/dynamic/2/1842,Genesis Cantina Elrond Ape,Bronze,Default,Red Open,Red,None,Candy Cane,None,None,Tank Shirt Blue,Pilot Pants White,Titan Bags Red,Desert,Explosive Weapons Proficiency,Overachiever
CEA-2d29f9-1e,30,https://ipfs.io/ipfs/bafybeiggyrikwxvdqaijyyxvft36pwjlipou7nb72wcto32ry6j5ppcooq/1269.png,https://media.elrond.com/nfts/thumbnail/CEA-2d29f9-26fc1cd4,1269,828,https://metadata.verko.io/dynamic/2/1269,Genesis Cantina Elrond Ape,Silver,Default,Blue Closed,Blue,Funny Nose,None,Punk,Viking,Company Armor Red,Mercenary Pants Blue,Tech Belt Red,Artic,Escape Artist,Grounded
CEA-2d29f9-1f,31,https://ipfs.io/ipfs/bafybeiggyrikwxvdqaijyyxvft36pwjlipou7nb72wcto32ry6j5ppcooq/1121.png,https://media.elrond.com/nfts/thumbnail/CEA-2d29f9-af7e5820,1121,985,https://metadata.verko.io/dynamic/2/1121,Genesis Cantina Elrond Ape,Silver,Default,Gold Open,Gold,None,Bubble Gum,None,Skull,Pilot Armor Brown,Company Pants Black,Titan Bags Brown,Artic,Elemental Weapons Proficiency,Scatter Weapons Proficiency
CEA-2d29f9-20,32,https://ipfs.io/ipfs/bafybeiggyrikwxvdqaijyyxvft36pwjlipou7nb72wcto32ry6j5ppcooq/1614.png,https://media.elrond.com/nfts/thumbnail/CEA-2d29f9-7070f734,1614,1596,https://metadata.verko.io/dynamic/2/1614,Genesis Cantina Elrond Ape,Bronze,Default,Camo Open,Camo,Steampunk,Bone,Punk,None,Bandolier,Pilot Pants Black,None,Desert,Nano Meds,Elemental Weapons Proficiency
CEA-2d29f9-21,33,https://ipfs.io/ipfs/bafybeiggyrikwxvdqaijyyxvft36pwjlipou7nb72wcto32ry6j5ppcooq/629.png,https://media.elrond.com/nfts/thumbnail/CEA-2d29f9-52812f11,629,306,https://metadata.verko.io/dynamic/2/629,Genesis Cantina Elrond Ape,Gold,Default,Platinum Open,Platinum,Green Visor,Party Blower,None,Gold Crown,Company Armor Red,Mercenary Pants Blue,Dual Dagger Holster Black,Golden,Stonewall,Grounded
CEA-2d29f9-22,34,https://ipfs.io/ipfs/bafybeiggyrikwxvdqaijyyxvft36pwjlipou7nb72wcto32ry6j5ppcooq/428.png,https://media.elrond.com/nfts/thumbnail/CEA-2d29f9-96a4520b,428,495,https://metadata.verko.io/dynamic/2/428,Genesis Cantina Elrond Ape,Gold,Augmented,Camo Open,Camo,Cyborg,Bubble Gum,None,Sugegasa,Pilot Armor Green,Tactical Pants Blue,Company Bags Blue,Golden,Brawler,Black Widow
CEA-2d29f9-23,35,https://ipfs.io/ipfs/bafybeiggyrikwxvdqaijyyxvft36pwjlipou7nb72wcto32ry6j5ppcooq/1496.png,https://media.elrond.com/nfts/thumbnail/CEA-2d29f9-79eed005,1496,1665,https://metadata.verko.io/dynamic/2/1496,Genesis Cantina Elrond Ape,Bronze,Default,Camo Closed,Camo,None,None,Tribal,None,Tank Shirt Blue,Tactical Pants Green,Radio,Desert,Nano Meds,Resilience
CEA-2d29f9-24,36,https://ipfs.io/ipfs/bafybeiggyrikwxvdqaijyyxvft36pwjlipou7nb72wcto32ry6j5ppcooq/846.png,https://media.elrond.com/nfts/thumbnail/CEA-2d29f9-7e888652,846,618,https://metadata.verko.io/dynamic/2/846,Genesis Cantina Elrond Ape,Silver,Default,Grey Open,Augmented,Monolaser,Pacifier,None,Tennis Headband,Tactical Vest Blue,Tactical Pants Blue,Tech Belt Black,Artic,Scavenger,Automatic Weapons Proficiency
CEA-2d29f9-25,37,https://ipfs.io/ipfs/bafybeiggyrikwxvdqaijyyxvft36pwjlipou7nb72wcto32ry6j5ppcooq/1662.png,https://media.elrond.com/nfts/thumbnail/CEA-2d29f9-d0e522a8,1662,1807,https://metadata.verko.io/dynamic/2/1662,Genesis Cantina Elrond Ape,Bronze,Default,Blue Open,Blue,Monolaser,Cigar,None,None,Tank Shirt Green,Tactical Pants Green,None,Desert,Brawler,Hodler
CEA-2d29f9-26,38,https://ipfs.io/ipfs/bafybeiggyrikwxvdqaijyyxvft36pwjlipou7nb72wcto32ry6j5ppcooq/1481.png,https://media.elrond.com/nfts/thumbnail/CEA-2d29f9-e2f07fff,1481,1233,https://metadata.verko.io/dynamic/2/1481,Genesis Cantina Elrond Ape,Bronze,Default,Blue Open,Blue,Love Glasses,Bubble Gum,None,None,Tank Shirt Red,Company Pants Black,Tactical Bags Yellow,Desert,Galvanized,Perseverance
CEA-2d29f9-27,39,https://ipfs.io/ipfs/bafybeiggyrikwxvdqaijyyxvft36pwjlipou7nb72wcto32ry6j5ppcooq/1086.png,https://media.elrond.com/nfts/thumbnail/CEA-2d29f9-985c5bba,1086,1394,https://metadata.verko.io/dynamic/2/1086,Genesis Cantina Elrond Ape,Silver,Default,Blue Closed,Blue,None,None,None,Dandy,T Shirt Orange,Company Pants Yellow,Titan Bags Brown,Artic,Cool Moves,Resilience
CEA-2d29f9-28,40,https://ipfs.io/ipfs/bafybeiggyrikwxvdqaijyyxvft36pwjlipou7nb72wcto32ry6j5ppcooq/1871.png,https://media.elrond.com/nfts/thumbnail/CEA-2d29f9-a729b3a6,1871,1813,https://metadata.verko.io/dynamic/2/1871,Genesis Cantina Elrond Ape,Bronze,Default,Red Closed,Red,None,None,Punk,None,Tank Shirt Green,Pilot Pants White,Company Bags Black,Desert,Galvanized,Adrenaline Rush
CEA-2d29f9-29,41,https://ipfs.io/ipfs/bafybeiggyrikwxvdqaijyyxvft36pwjlipou7nb72wcto32ry6j5ppcooq/1434.png,https://media.elrond.com/nfts/thumbnail/CEA-2d29f9-8b4c95be,1434,1831,https://metadata.verko.io/dynamic/2/1434,Genesis Cantina Elrond Ape,Bronze,Default,Camo Open,Camo,None,Party Blower,Punk,None,Tank Shirt Red,Tactical Pants Green,None,Desert,Resilience,Grounded
CEA-2d29f9-2a,42,https://ipfs.io/ipfs/bafybeiggyrikwxvdqaijyyxvft36pwjlipou7nb72wcto32ry6j5ppcooq/1029.png,https://media.elrond.com/nfts/thumbnail/CEA-2d29f9-13e6cea1,1029,687,https://metadata.verko.io/dynamic/2/1029,Genesis Cantina Elrond Ape,Silver,Default,Blue Open,Blue,Cyborg,Pacifier,None,Viking,Company Armor Black,Mercenary Pants Red,Tech Belt Orange,Artic,Automatic Weapons Proficiency,Scavenger
CEA-2d29f9-2b,43,https://ipfs.io/ipfs/bafybeiggyrikwxvdqaijyyxvft36pwjlipou7nb72wcto32ry6j5ppcooq/1795.png,https://media.elrond.com/nfts/thumbnail/CEA-2d29f9-9fe54c37,1795,1825,https://metadata.verko.io/dynamic/2/1795,Genesis Cantina Elrond Ape,Bronze,Default,Camo Closed,Camo,None,None,Punk,None,Default,Pilot Pants White,Company Bags Green,Desert,Cool Moves,Escape Artist
CEA-2d29f9-2c,44,https://ipfs.io/ipfs/bafybeiggyrikwxvdqaijyyxvft36pwjlipou7nb72wcto32ry6j5ppcooq/1037.png,https://media.elrond.com/nfts/thumbnail/CEA-2d29f9-96a821d9,1037,1877,https://metadata.verko.io/dynamic/2/1037,Genesis Cantina Elrond Ape,Silver,Default,Red Closed,Red,None,None,None,None,T Shirt Red,Tactical Pants Orange,Tactical Bags Yellow,Artic,Precision Weapons Proficiency,Escape Artist
CEA-2d29f9-2d,45,https://ipfs.io/ipfs/bafybeiggyrikwxvdqaijyyxvft36pwjlipou7nb72wcto32ry6j5ppcooq/1378.png,https://media.elrond.com/nfts/thumbnail/CEA-2d29f9-ea3c09f6,1378,1116,https://metadata.verko.io/dynamic/2/1378,Genesis Cantina Elrond Ape,Silver,Default,Red Open,Red,Monolaser,Bone,None,None,T Shirt Blue,Mercenary Pants Black,Titan Bags Black,Artic,Galvanized,Grounded
CEA-2d29f9-2e,46,https://ipfs.io/ipfs/bafybeiggyrikwxvdqaijyyxvft36pwjlipou7nb72wcto32ry6j5ppcooq/12.png,https://media.elrond.com/nfts/thumbnail/CEA-2d29f9-4ed8cef3,12,75,https://metadata.verko.io/dynamic/2/12,Genesis Cantina Elrond Ape,Legendary,Default,Zombie Closed,Zombie,MetaScreen Matrix,None,Punk,Wizzard,Titan Armor Mk.2 Red,Titan Pants Orange,Mortars Green,Neon,Grounded,Overachiever
CEA-2d29f9-2f,47,https://ipfs.io/ipfs/bafybeiggyrikwxvdqaijyyxvft36pwjlipou7nb72wcto32ry6j5ppcooq/1355.png,https://media.elrond.com/nfts/thumbnail/CEA-2d29f9-4aea5ae5,1355,1122,https://metadata.verko.io/dynamic/2/1355,Genesis Cantina Elrond Ape,Silver,Default,Grey Closed,Augmented,None,None,None,Black Beanie,Pilot Armor Brown,Company Pants Red,Dual Grenades 2 Orange,Artic,Scavenger,Brawler
CEA-2d29f9-30,48,https://ipfs.io/ipfs/bafybeiggyrikwxvdqaijyyxvft36pwjlipou7nb72wcto32ry6j5ppcooq/1635.png,https://media.elrond.com/nfts/thumbnail/CEA-2d29f9-fa9d3ce0,1635,1473,https://metadata.verko.io/dynamic/2/1635,Genesis Cantina Elrond Ape,Bronze,Default,Blue Closed,Blue,Cyborg,None,Punk,None,Hoodie Brown,Pilot Pants White,Titan Bags Green,Desert,Explosive Weapons Proficiency,Resilience
CEA-2d29f9-31,49,https://ipfs.io/ipfs/bafybeiggyrikwxvdqaijyyxvft36pwjlipou7nb72wcto32ry6j5ppcooq/1873.png,https://media.elrond.com/nfts/thumbnail/CEA-2d29f9-a94702c6,1873,2001,https://metadata.verko.io/dynamic/2/1873,Genesis Cantina Elrond Ape,Bronze,Default,Camo Closed,Camo,None,None,None,None,Bandolier,Company Pants Black,Tactical Bags Brown,Desert,Scatter Weapons Proficiency,Escape Artist
CEA-2d29f9-32,50,https://ipfs.io/ipfs/bafybeiggyrikwxvdqaijyyxvft36pwjlipou7nb72wcto32ry6j5ppcooq/1566.png,https://media.elrond.com/nfts/thumbnail/CEA-2d29f9-e873140d,1566,1732,https://metadata.verko.io/dynamic/2/1566,Genesis Cantina Elrond Ape,Bronze,Default,Camo Closed,Camo,Steampunk,None,None,None,Bandolier,Tactical Pants Black,Tactical Bags Blue,Desert,Cold Blooded,Escape Artist
CEA-2d29f9-33,51,https://ipfs.io/ipfs/bafybeiggyrikwxvdqaijyyxvft36pwjlipou7nb72wcto32ry6j5ppcooq/253.png,https://media.elrond.com/nfts/thumbnail/CEA-2d29f9-1b43a02f,253,133,https://metadata.verko.io/dynamic/2/253,Genesis Cantina Elrond Ape,Epic,Default,Zombie Closed,Zombie,Monolaser,Mustache,None,Black Beanie,Pilot Armor Black,Cyborg Legs Red,Tech Belt Brown,Outworld,Automatic Weapons Proficiency,Overshield
CEA-2d29f9-34,52,https://ipfs.io/ipfs/bafybeiggyrikwxvdqaijyyxvft36pwjlipou7nb72wcto32ry6j5ppcooq/840.png,https://media.elrond.com/nfts/thumbnail/CEA-2d29f9-8bf1ac05,840,1530,https://metadata.verko.io/dynamic/2/840,Genesis Cantina Elrond Ape,Silver,Default,Blue Open,Blue,None,Lollipop,None,None,Tactical Vest Black,Tactical Pants Blue,Ammo Belt,Artic,Elemental Weapons Proficiency,Galvanized
CEA-2d29f9-35,53,https://ipfs.io/ipfs/bafybeiggyrikwxvdqaijyyxvft36pwjlipou7nb72wcto32ry6j5ppcooq/2110.png,https://media.elrond.com/nfts/thumbnail/CEA-2d29f9-b4b35e79,2110,1427,https://metadata.verko.io/dynamic/2/2110,Genesis Cantina Elrond Ape,Bronze,Default,Camo Closed,Camo,Cybermeta Tokyo,None,Punk,None,T Shirt Orange,Tactical Pants Black,Tactical Bags Yellow,Desert,Explosive Weapons Proficiency,Adrenaline Rush
CEA-2d29f9-36,54,https://ipfs.io/ipfs/bafybeiggyrikwxvdqaijyyxvft36pwjlipou7nb72wcto32ry6j5ppcooq/275.png,https://media.elrond.com/nfts/thumbnail/CEA-2d29f9-ae1feca0,275,280,https://metadata.verko.io/dynamic/2/275,Genesis Cantina Elrond Ape,Epic,Default,Gold Open,Gold,Monolaser,Wheat,Punk,Wizzard,Pilot Armor Brown,Rogue Pants Green,Pilot Bags Green,Outworld,Hodler,Black Widow
CEA-2d29f9-37,55,https://ipfs.io/ipfs/bafybeiggyrikwxvdqaijyyxvft36pwjlipou7nb72wcto32ry6j5ppcooq/1135.png,https://media.elrond.com/nfts/thumbnail/CEA-2d29f9-febcf526,1135,1080,https://metadata.verko.io/dynamic/2/1135,Genesis Cantina Elrond Ape,Silver,Default,Blue Open,Blue,None,Wheat,None,Black Beanie,Large Vest Orange,Rogue Pants Red,Titan Bags Blue,Artic,Precision Weapons Proficiency,Black Widow
CEA-2d29f9-38,56,https://ipfs.io/ipfs/bafybeiggyrikwxvdqaijyyxvft36pwjlipou7nb72wcto32ry6j5ppcooq/906.png,https://media.elrond.com/nfts/thumbnail/CEA-2d29f9-3c5b6a76,906,905,https://metadata.verko.io/dynamic/2/906,Genesis Cantina Elrond Ape,Silver,Default,Red Closed,Red,Love Glasses,None,None,Red Dad Hat,Tank Shirt Red,Pilot Pants Green,Dual Grenades 2 Green,Artic,Adrenaline Rush,Escape Artist
CEA-2d29f9-39,57,https://ipfs.io/ipfs/bafybeiggyrikwxvdqaijyyxvft36pwjlipou7nb72wcto32ry6j5ppcooq/99.png,https://media.elrond.com/nfts/thumbnail/CEA-2d29f9-604adb11,99,56,https://metadata.verko.io/dynamic/2/99,Genesis Cantina Elrond Ape,Legendary,Augmented,Zombie Open,Zombie,MetaScreen Matrix,Pacifier,None,Tennis Headband,Cyborg Body Orange,Pilot Pants Green,Company Bags Blue,Neon,Elemental Weapons Proficiency,Automatic Weapons Proficiency
